moment,data,model_ct,model_dt
Frac. married 1950,0.816,0.8067974937530744,0.7935758013462767
Frac. married 2000,0.625,0.6774522071865267,0.672725257105772
Prob. divorce 1950,0.011,0.012065432636560569,0.011402625033102355
Prob. divorce 2000,0.023,0.026006038037652113,0.0245676887181347
Prob. marriage 1950,0.211,0.13107526677710057,0.12740994188170862
Prob. marriage 2000,0.082,0.095627103849519,0.09518536794165244
